num_turno;tipo_dia;apertura_lugar;apertura_hora;presentacion_lugar;presentacion_hora;servicios;cierre_lugar;cierre_hora
92;DOM;EZ;17:15;EZ;17:15;20259-20847;LJ;23:15
77;FER;EZ;7:00;EZ;7:00;REC EZ ;EZ;14:30
78;FER;EZ;6:45;EZ;7:30;REC CC;EZ;14:15
79;FER;EZ;8:00;EZ;8:00;REC ;EZ;14:00
80;FER;LJ;7:00;LJ;7:20;20856-20224;EZ;12:30
81;FER;EZ;7:25;EZ;7:45;20213-20857-20844-20234;EZ;14:15
83;FER;EZ;11:20;EZ;11:30;20229-859-846-20254;EZ;17:00
86;FER;EZ;14:30;EZ;14:30;REC EZ ;EZ;21:00
87;FER;EZ;14:30;EZ;14:30;REC CC ;EZ;21:00
88;FER;EZ;15:00;EZ;15:00;REC;EZ;21:00
91;FER;EZ;15:15;EZ;15:15;20243-20845-20084-20268;EZ;22:15
92;FER;EZ;17:15;EZ;17:15;20259-20847;LJ;23:15
